Holder|TokenId|SnapshotDate|InterestEarnedInMonth|Interest|Principal
0x1c139c86C86075e08Cd7730165eE76900F66BebD|63|2022-07-18|18.904|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|63|2022-07-19|19.7259|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|63|2022-07-20|20.5478|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|63|2022-07-21|21.3697|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|63|2022-07-22|22.1916|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|63|2022-07-23|23.0135|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|63|2022-07-24|23.8354|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|63|2022-07-25|24.6573|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-06-26|0.821918|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-06-27|1.64384|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-06-28|2.46576|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-06-29|3.28768|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-06-30|4.1096|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-01|4.93152|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-02|5.75344|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-03|6.57536|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-04|7.39728|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-05|8.2192|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-06|9.04112|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-07|9.86304|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-08|10.685|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-09|11.5069|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-10|12.3288|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-11|13.1507|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-12|13.9726|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-13|14.7945|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-14|15.6164|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-15|16.4383|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-16|17.2602|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-17|18.0821|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-18|18.904|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-19|19.7259|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-20|20.5478|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-21|21.3697|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-22|22.1916|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-23|23.0135|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-24|23.8354|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|64|2022-07-25|24.6573|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-06-26|0.821918|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-06-27|1.64384|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-06-28|2.46576|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-06-29|3.28768|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-06-30|4.1096|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-01|4.93152|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-02|5.75344|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-03|6.57536|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-04|7.39728|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-05|8.2192|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-06|9.04112|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-07|9.86304|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-08|10.685|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-09|11.5069|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-10|12.3288|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-11|13.1507|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-12|13.9726|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-13|14.7945|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-14|15.6164|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-15|16.4383|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-16|17.2602|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-17|18.0821|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-18|18.904|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-19|19.7259|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-20|20.5478|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-21|21.3697|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-22|22.1916|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-23|23.0135|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-24|23.8354|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|65|2022-07-25|24.6573|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-06-26|0.821918|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-06-27|1.64384|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-06-28|2.46576|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-06-29|3.28768|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-06-30|4.1096|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-01|4.93152|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-02|5.75344|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-03|6.57536|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-04|7.39728|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-05|8.2192|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-06|9.04112|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-07|9.86304|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-08|10.685|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-09|11.5069|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-10|12.3288|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-11|13.1507|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-12|13.9726|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-13|14.7945|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-14|15.6164|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-15|16.4383|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-16|17.2602|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-17|18.0821|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-18|18.904|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-19|19.7259|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-20|20.5478|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-21|21.3697|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-22|22.1916|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-23|23.0135|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-24|23.8354|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|66|2022-07-25|24.6573|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-06-26|0.821918|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-06-27|1.64384|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-06-28|2.46576|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-06-29|3.28768|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-06-30|4.1096|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-01|4.93152|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-02|5.75344|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-03|6.57536|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-04|7.39728|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-05|8.2192|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-06|9.04112|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-07|9.86304|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-08|10.685|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-09|11.5069|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-10|12.3288|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-11|13.1507|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-12|13.9726|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-13|14.7945|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-14|15.6164|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-15|16.4383|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-16|17.2602|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-17|18.0821|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-18|18.904|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-19|19.7259|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-20|20.5478|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-21|21.3697|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-22|22.1916|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-23|23.0135|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-24|23.8354|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|67|2022-07-25|24.6573|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-06-26|0.821918|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-06-27|1.64384|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-06-28|2.46576|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-06-29|3.28768|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-06-30|4.1096|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-01|4.93152|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-02|5.75344|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-03|6.57536|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-04|7.39728|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-05|8.2192|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-06|9.04112|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-07|9.86304|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-08|10.685|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-09|11.5069|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-10|12.3288|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-11|13.1507|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-12|13.9726|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-13|14.7945|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-14|15.6164|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-15|16.4383|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-16|17.2602|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-17|18.0821|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-18|18.904|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-19|19.7259|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-20|20.5478|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-21|21.3697|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-22|22.1916|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-23|23.0135|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-24|23.8354|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|68|2022-07-25|24.6573|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-06-26|0.821918|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-06-27|1.64384|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-06-28|2.46576|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-06-29|3.28768|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-06-30|4.1096|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-01|4.93152|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-02|5.75344|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-03|6.57536|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-04|7.39728|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-05|8.2192|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-06|9.04112|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-07|9.86304|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-08|10.685|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-09|11.5069|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-10|12.3288|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-11|13.1507|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-12|13.9726|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-13|14.7945|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-14|15.6164|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-15|16.4383|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-16|17.2602|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-17|18.0821|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-18|18.904|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-19|19.7259|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-20|20.5478|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-21|21.3697|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-22|22.1916|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-23|23.0135|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-24|23.8354|12.0|5000
0x1c139c86C86075e08Cd7730165eE76900F66BebD|69|2022-07-25|24.6573|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-06-26|0.821918|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-06-27|1.64384|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-06-28|2.46576|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-06-29|3.28768|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-06-30|4.1096|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-01|4.93152|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-02|5.75344|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-03|6.57536|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-04|7.39728|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-05|8.2192|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-06|9.04112|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-07|9.86304|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-08|10.685|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-09|11.5069|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-10|12.3288|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-11|13.1507|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-12|13.9726|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-13|14.7945|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-14|15.6164|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-15|16.4383|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-16|17.2602|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-17|18.0821|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-18|18.904|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-19|19.7259|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-20|20.5478|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-21|21.3697|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-22|22.1916|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-23|23.0135|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-24|23.8354|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|70|2022-07-25|24.6573|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-06-26|0.821918|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-06-27|1.64384|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-06-28|2.46576|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-06-29|3.28768|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-06-30|4.1096|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-01|4.93152|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-02|5.75344|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-03|6.57536|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-04|7.39728|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-05|8.2192|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-06|9.04112|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-07|9.86304|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-08|10.685|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-09|11.5069|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-10|12.3288|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-11|13.1507|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-12|13.9726|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-13|14.7945|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-14|15.6164|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-15|16.4383|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-16|17.2602|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-17|18.0821|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-18|18.904|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-19|19.7259|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-20|20.5478|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-21|21.3697|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-22|22.1916|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-23|23.0135|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-24|23.8354|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|71|2022-07-25|24.6573|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-06-26|0.821918|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-06-27|1.64384|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-06-28|2.46576|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-06-29|3.28768|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-06-30|4.1096|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-01|4.93152|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-02|5.75344|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-03|6.57536|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-04|7.39728|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-05|8.2192|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-06|9.04112|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-07|9.86304|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-08|10.685|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-09|11.5069|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-10|12.3288|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-11|13.1507|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-12|13.9726|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-13|14.7945|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-14|15.6164|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-15|16.4383|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-16|17.2602|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-17|18.0821|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-18|18.904|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-19|19.7259|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-20|20.5478|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-21|21.3697|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-22|22.1916|12.0|5000
0xf9a6fC991090441eAe7C0A95f55B71cA4f3eBA14|72|2022-07-23|23.0135|12.0|5000
